rule,date,rank,code,name,auction_pct,close_vs_open_pct,win,score
gap-only-v11,2026-08-18,1,002484,江海股份,3.002,-6.633,0,99.903
gap-only-v11,2026-08-18,2,603580,艾艾精工,3.007,6.993,1,99.688
gap-only-v11,2026-08-18,3,002562,兄弟科技,3.036,-1.822,0,98.344
gap-only-v11,2026-08-18,4,000852,石化机械,3.042,7.034,1,98.099
gap-only-v11,2026-08-18,5,002563,森马服饰,2.951,0.0,0,97.79
gap-only-v11,2026-08-18,6,002957,科瑞技术,2.94,0.877,1,97.295
gap-only-v11,2026-08-18,7,002722,物产金轮,3.084,-1.928,0,96.18
gap-only-v11,2026-08-18,8,002156,通富微电,2.801,-0.78,0,90.956
gap-only-v11,2026-08-18,9,003031,中瓷电子,2.795,-2.432,0,90.702
gap-only-v11,2026-08-18,10,002476,新叶股份,2.789,-4.382,0,90.402
gap-only-v11,2026-08-19,1,603801,志邦家居,3.015,7.035,1,99.315
gap-only-v11,2026-08-19,2,000523,红棉股份,2.961,2.632,1,98.206
gap-only-v11,2026-08-19,3,600343,航天动力,2.84,-11.802,0,92.743
gap-only-v11,2026-08-19,4,601666,平煤股份,2.799,-1.399,0,90.85
gap-only-v11,2026-08-19,5,000560,我爱我家,2.778,7.407,1,89.899
gap-only-v11,2026-08-19,6,600444,国机通用,2.724,-0.215,0,87.455
gap-only-v11,2026-08-19,7,603017,中衡设计,2.68,-7.32,0,85.473
gap-only-v11,2026-08-19,8,600992,贵绳股份,2.679,-7.44,0,85.39
gap-only-v11,2026-08-19,9,603406,天富龙,2.673,1.252,1,85.115
gap-only-v11,2026-08-19,10,002361,神剑股份,3.383,-10.396,0,81.867
gap-only-v11,2026-08-20,1,002653,海思科,3.005,0.06,1,99.77
gap-only-v11,2026-08-20,2,601168,西部矿业,2.987,-3.448,0,99.395
gap-only-v11,2026-08-20,3,000661,长春高新,3.014,1.112,1,99.371
gap-only-v11,2026-08-20,4,002370,亚太药业,2.972,-1.049,0,98.729
gap-only-v11,2026-08-20,5,603222,济民健康,2.969,-1.425,0,98.596
gap-only-v11,2026-08-20,6,002422,科伦药业,2.958,1.89,1,98.069
gap-only-v11,2026-08-20,7,600714,金瑞矿业,3.05,-7.333,0,97.729
gap-only-v11,2026-08-20,8,603588,高能环境,2.937,-0.075,0,97.125
gap-only-v11,2026-08-20,9,002644,佛慈制药,2.934,1.222,1,96.999
gap-only-v11,2026-08-20,10,000922,佳电股份,2.934,-0.863,0,96.98
gap-only-v11,2026-08-21,1,000603,盛达资源,2.915,7.091,1,96.121
gap-only-v11,2026-08-21,2,603580,艾艾精工,3.089,4.92,1,95.971
gap-only-v11,2026-08-21,3,000007,全新好,2.895,0.331,1,95.225
gap-only-v11,2026-08-21,4,000711,京蓝科技,3.11,2.291,1,95.016
gap-only-v11,2026-08-21,5,001258,立新能源,3.168,-3.981,0,92.357
gap-only-v11,2026-08-21,6,001360,南矿集团,2.816,-2.209,0,91.642
gap-only-v11,2026-08-21,7,603626,科森科技,3.245,6.785,1,88.692
gap-only-v11,2026-08-21,8,603988,中电电机,2.736,-4.67,0,87.993
gap-only-v11,2026-08-21,9,002073,软控股份,3.333,0.877,1,84.315
gap-only-v11,2026-08-21,10,000426,兴业银锡,2.645,3.371,1,83.874
gap-only-v11,2026-08-24,1,603399,永杉锂业,2.988,-1.992,0,99.457
gap-only-v11,2026-08-24,2,000019,深粮控股,2.987,-2.044,0,99.428
gap-only-v11,2026-08-24,3,603408,建霖家居,3.013,1.652,1,99.426
gap-only-v11,2026-08-24,4,000828,东莞控股,2.95,1.686,1,97.749
gap-only-v11,2026-08-24,5,600345,长江通信,2.941,-2.731,0,97.326
gap-only-v11,2026-08-24,6,600397,江钨装备,2.922,-2.426,0,96.442
gap-only-v11,2026-08-24,7,603336,宏辉果蔬,2.919,-4.865,0,96.314
gap-only-v11,2026-08-24,8,600805,悦达投资,2.908,0.224,1,95.831
gap-only-v11,2026-08-24,9,000025,特 力Ａ,3.129,-1.043,0,94.133
gap-only-v11,2026-08-24,10,002114,罗平锌电,2.869,-1.23,0,94.039
